File name,Date,Sample ID,Replicate number,Mouse ID,Sex,Age,Genotype,Stress-relaxation 60s,Rate of change of stress 60s,S60 clamped,Hysteresis strain energy per unit volume,Hysteresis %,Average diameter (um),C.s.a (um squared),C.s.a (mm squared),Sample length (mm),Failure force (N) - corrected,Failure stress (MPa) - corrected,Failure strain (%) - corrected,Failure extension (mm) - corrected,Max modulus (sliding window),Stress at max modulus (sliding window),Strain at max modulus (sliding window),Time at max modulus (s),Force at max modulus (N),Displacement at max modulus (mm),Max modulus fit R2,Max modulus fit intercept (MPa),Max modulus fit n points,SNR preconditioning,SNR hold,SNR failure,SNR preconditioning pass,SNR hold pass,SNR failure pass,Residual preconditioning,Residual hold,Residual failure,Residual preconditioning pass,Residual hold pass,Residual failure pass,Range preconditioning,Range hold,Range failure,Range preconditioning pass,Range hold pass,Range failure pass,Preconditioning pass,Hold pass,Failure pass,Force-Time plot,Force-Extension plot
210407 MRC Sample A3Data.csv,07.04.2021,A,3,104.1,F,8wks,Tm1b Het,9.901238914,-0.004174759769,False,0.02412644894,36.10387115,137.4383333,14835.61796,0.014835618,14,0.201,13.54847503,7.785714286,1.09,398.5241892,3.235456723,0.02664285714,786.64,0.061,0.373,0.8587855295,-6.938525295,179,31.90288135,5.033548856,28.98371206,True,True,True,0.08165655141,0.08796415227,0.0181655898,False,False,True,0.074,0.069,0.238,True,True,True,False,False,True,results/plots/210407_Sample_A3_force_time.png,results/plots/210407_Sample_A3_force_extension.png
210407 MRC Sample A4Data.csv,07.04.2021,A,4,104.1,F,8wks,Tm1b Het,63.84744271,-0.01125505185,False,0.004418446751,13.24193881,155.272,18935.47376,0.018935474,14.001,0.163,8.608181659,8.927933719,1.25,234.6759438,3.591143269,0.04763945432,790.41,0.071,0.667,0.7871484178,-7.73740231,181,0.2288215881,4.070376554,67.72150113,False,True,True,0.07585218676,0.08747550717,0.022755433,True,False,True,0.053,0.047,0.184,True,True,True,True,False,True,results/plots/210407_Sample_A4_force_time.png,results/plots/210407_Sample_A4_force_extension.png
210407 MRC Sample A5Data.csv,07.04.2021,A,5,104.1,F,8wks,Tm1b Het,59.30020823,-0.0120212763,False,0.01596829036,26.97695153,158.514,19734.45476,0.019734455,14.001,0.406,20.57315492,15.9488608,2.233,260.3222888,6.384772217,0.05363902578,791.53,0.129,0.751,0.868456442,-7.092137223,181,2.376042238,18.31391602,98.677065,False,True,True,0.04687921279,0.08447422173,0.01327476432,True,False,True,0.074,0.058,0.427,True,True,True,True,False,True,results/plots/210407_Sample_A5_force_time.png,results/plots/210407_Sample_A5_force_extension.png
210407 MRC Sample A6Data.csv,07.04.2021,A,6,104.1,F,8wks,Tm1b Het,11.12059031,-0.02380958069,False,0.01907337445,15.69528636,96.62233333,7332.379313,0.007332379,14.001,0.253,34.50449029,6.570959217,0.92,723.7473811,9.273934149,0.01549889294,784.68,0.071,0.217,0.8367072236,-1.973362643,180,7.732554813,60.31834212,59.26880611,True,True,True,0.04004299743,0.04433299838,0.01624109536,True,True,True,0.116,0.105,0.274,True,True,True,True,True,True,results/plots/210407_Sample_A6_force_time.png,results/plots/210407_Sample_A6_force_extension.png
210407 MRC Sample A7Data.csv,07.04.2021,A,7,104.1,F,8wks,Tm1b Het,13.59907688,-0.01843927471,False,0.05634526437,29.30905828,113.4313333,10105.45692,0.010105457,14,0.163,16.12989892,4.092857143,0.573,535.3853891,4.650952451,0.01992857143,785.48,0.055,0.279,0.8378588768,-4.632951486,179,12.9181333,13.69310463,24.05374747,True,True,True,0.04181454411,0.03228328604,0.02144959538,True,True,True,0.132,0.121,0.195,True,True,True,True,True,True,results/plots/210407_Sample_A7_force_time.png,results/plots/210407_Sample_A7_force_extension.png
210407 MRC Sample A8Data.csv,07.04.2021,A,8,104.1,F,8wks,Tm1b Het,-2.619376208,0.0002482569638,False,0.01057390363,30.48544068,165.826,21597.08469,0.021597085,14.001,0.032,1.48168144,3.056924505,0.428,54.93766828,0.509327995,0.0184272552,785.17,0.008,0.258,0.4223359415,-0.5586240985,88,1.453447602,5.892386397,6.305878063,False,True,True,0.05795977652,0.07040618431,0.07376094353,True,True,True,0.063,0.058,0.053,True,True,True,True,True,True,results/plots/210407_Sample_A8_force_time.png,results/plots/210407_Sample_A8_force_extension.png
210407 MRC Sample A9Data.csv,07.04.2021,A,9,104.1,F,8wks,Tm1b Het,27.5499475,-0.001986117332,False,0.004139925067,10.40377524,153.95,18614.40967,0.01861441,14,0.027,1.450489164,5.457142857,0.764,29.68545615,0.3223309253,0.03864285714,788.84,0.003,0.541,0.3298911657,-0.760297022,97,0.8101675183,2.803974457,7.18766089,False,False,True,0.1079029785,0.1196307726,0.07927155043,False,False,True,0.032,0.027,0.048,True,True,True,False,False,True,results/plots/210407_Sample_A9_force_time.png,results/plots/210407_Sample_A9_force_extension.png
210407 MRC Sample B1Data.csv,07.04.2021,B,1,106.3,F,8wks,Tm1b Het,3.019686472,-0.002231882301,False,0.02372202484,30.91696922,109.6926667,9450.288579,0.009450289,14.001,0.316,33.43813083,11.08492251,1.552,561.1673768,9.946785754,0.04171130634,789.4,0.055,0.584,0.8192052706,-12.47326475,180,2.406067726,21.94305455,212.4973283,False,True,True,0.06211064732,0.06503324435,0.01667237629,True,True,True,0.058,0.047,0.316,True,True,True,True,True,True,results/plots/210407_Sample_B1_force_time.png,results/plots/210407_Sample_B1_force_extension.png
210407 MRC Sample B10Data.csv,07.04.2021,B,10,106.3,F,8wks,Tm1b Het,88.82625235,-0.02897950128,False,0.02564761156,21.3399109,90.14866667,6382.759738,0.00638276,14,0.395,61.88545394,15.48571429,2.168,838.9943693,26.32090193,0.09128571429,798.24,0.15,1.278,0.8428851765,-51.76706987,181,5.22212851,1.500633315,58.56934317,True,False,True,0.09558946232,0.1651100997,0.01338469528,False,False,True,0.063,0.037,0.406,True,True,True,False,False,True,results/plots/210407_Sample_B10_force_time.png,results/plots/210407_Sample_B10_force_extension.png
210407 MRC Sample B2Data.csv,07.04.2021,B,2,106.3,F,8wks,Tm1b Het,37.99966557,-0.08658680956,False,0.04743828263,18.51221832,73.79733333,4277.314846,0.004277315,14,0.226,52.83688482,8.528571429,1.194,1163.07618,14.72886612,0.02421428571,786.24,0.045,0.339,0.8044578215,-15.37023999,182,8.529346792,8.441568586,31.29296878,True,True,True,0.07265585927,0.06944804838,0.02290362146,True,True,True,0.074,0.074,0.237,True,True,True,True,True,True,results/plots/210407_Sample_B2_force_time.png,results/plots/210407_Sample_B2_force_extension.png
