"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210412.MRC.Sample.A3Data",4,"12.04.2021","A","106.1","F","8wks","oim Wt",3,88.22466667,6113.218711,0.006113219,210412,"210412 MRC Sample A3Data.csv",NA
"210412.MRC.Sample.A4Data",4,"12.04.2021","A","106.1","F","8wks","oim Wt",4,146.8063333,16926.97936,0.016926979,210412,"210412 MRC Sample A4Data.csv",NA
"210412.MRC.Sample.A5Data",4,"12.04.2021","A","106.1","F","8wks","oim Wt",5,124.3303333,12140.70977,0.01214071,210412,"210412 MRC Sample A5Data.csv",NA
"210412.MRC.Sample.A6Data",5,"12.04.2021","A","106.1","F","8wks","oim Wt",6,120.5673333,11416.92615,0.011416926,210412,"210412 MRC Sample A6Data.csv",NA
"210412.MRC.Sample.A8Data",4,"12.04.2021","A","106.1","F","8wks","oim Wt",8,106.6613333,8935.192178,0.008935192,210412,"210412 MRC Sample A8Data.csv",NA
"210412.MRC.Sample.A9Data",2,"12.04.2021","A","106.1","F","8wks","oim Wt",9,127.8223333,12832.26629,0.012832266,210412,"210412 MRC Sample A9Data.csv",NA
"210412.MRC.Sample.B1Data",4,"12.04.2021","B","114.1","F","8wks","oim Het",1,91.07833333,6515.08417,0.006515084,210412,"210412 MRC Sample B1Data.csv",NA
"210412.MRC.Sample.B2Data",4,"12.04.2021","B","114.1","F","8wks","oim Het",2,93.38933333,6849.903159,0.006849903,210412,"210412 MRC Sample B2Data.csv",NA
"210412.MRC.Sample.B4Data",3,"12.04.2021","B","114.1","F","8wks","oim Het",4,128.8663333,13042.73962,0.01304274,210412,"210412 MRC Sample B4Data.csv",NA
"210412.MRC.Sample.B5Data",4,"12.04.2021","B","114.1","F","8wks","oim Het",5,101.066,8022.321014,0.008022321,210412,"210412 MRC Sample B5Data.csv",NA
"210412.MRC.Sample.B6Data",3,"12.04.2021","B","114.1","F","8wks","oim Het",6,131.651,13612.50982,0.01361251,210412,"210412 MRC Sample B6Data.csv",NA
"210412.MRC.Sample.B7Data",4,"12.04.2021","B","114.1","F","8wks","oim Het",7,101.5056667,8092.271729,0.008092272,210412,"210412 MRC Sample B7Data.csv",NA
"210412.MRC.Sample.B9Data",4,"12.04.2021","B","114.1","F","8wks","oim Het",9,108.2323333,9200.340988,0.009200341,210412,"210412 MRC Sample B9Data.csv",NA
"210412.MRC.Sample.C1Data",4,"12.04.2021","C","114.3","F","8wks","oim Hom",1,102.1303333,8192.177994,0.008192178,210412,"210412 MRC Sample C1Data.csv",NA
"210412.MRC.Sample.C2Data",3,"12.04.2021","C","114.3","F","8wks","oim Hom",2,88.67366667,6175.600808,0.006175601,210412,"210412 MRC Sample C2Data.csv",NA
